open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime,close_datetime
1773314154000,70444.44,70444.45,70444.44,70444.45,0.00477,1773314154999,336.0199811,4,0.00023,16.2022235,0,2026-03-12 11:15:54+00:00,2026-03-12 11:15:54.999000+00:00
1773314155000,70444.44,70444.45,70444.44,70444.45,0.00761,1773314155999,536.0822632,22,0.00748,526.924486,0,2026-03-12 11:15:55+00:00,2026-03-12 11:15:55.999000+00:00
1773314156000,70444.44,70444.44,70444.44,70444.44,0.01181,1773314156999,831.9488364,3,0.0,0.0,0,2026-03-12 11:15:56+00:00,2026-03-12 11:15:56.999000+00:00
1773314157000,70444.44,70444.44,70444.44,70444.44,0.39799,1773314157999,28036.1826756,6,0.0,0.0,0,2026-03-12 11:15:57+00:00,2026-03-12 11:15:57.999000+00:00
1773314158000,70444.45,70444.45,70444.45,70444.45,0.02361,1773314158999,1663.1934645,6,0.02361,1663.1934645,0,2026-03-12 11:15:58+00:00,2026-03-12 11:15:58.999000+00:00
1773314159000,70444.45,70444.45,70444.44,70444.44,0.00492,1773314159999,346.5866461,3,0.00013,9.1577785,0,2026-03-12 11:15:59+00:00,2026-03-12 11:15:59.999000+00:00
1773314160000,70444.44,70444.44,70444.44,70444.44,0.01511,1773314160999,1064.4154884,1,0.0,0.0,0,2026-03-12 11:16:00+00:00,2026-03-12 11:16:00.999000+00:00
1773314161000,70444.44,70444.44,70444.44,70444.44,0.0,1773314161999,0.0,0,0.0,0.0,0,2026-03-12 11:16:01+00:00,2026-03-12 11:16:01.999000+00:00
1773314162000,70444.44,70444.44,70444.44,70444.44,0.00031,1773314162999,21.8377764,1,0.0,0.0,0,2026-03-12 11:16:02+00:00,2026-03-12 11:16:02.999000+00:00
1773314163000,70444.44,70444.45,70444.44,70444.44,0.00718,1773314163999,505.791082,8,0.00028,19.724446,0,2026-03-12 11:16:03+00:00,2026-03-12 11:16:03.999000+00:00
1773314164000,70444.44,70444.44,70444.44,70444.44,0.0,1773314164999,0.0,0,0.0,0.0,0,2026-03-12 11:16:04+00:00,2026-03-12 11:16:04.999000+00:00
1773314165000,70444.44,70444.44,70444.44,70444.44,0.0416,1773314165999,2930.488704,3,0.0,0.0,0,2026-03-12 11:16:05+00:00,2026-03-12 11:16:05.999000+00:00
1773314166000,70444.44,70444.44,70444.44,70444.44,0.00013,1773314166999,9.1577772,2,0.0,0.0,0,2026-03-12 11:16:06+00:00,2026-03-12 11:16:06.999000+00:00
1773314167000,70444.44,70444.45,70441.97,70441.98,0.08797,1773314167999,6196.987378,56,0.04175,2941.0550959,0,2026-03-12 11:16:07+00:00,2026-03-12 11:16:07.999000+00:00
1773314168000,70441.97,70441.97,70441.97,70441.97,0.00231,1773314168999,162.7209507,1,0.0,0.0,0,2026-03-12 11:16:08+00:00,2026-03-12 11:16:08.999000+00:00
1773314169000,70441.98,70441.98,70441.98,70441.98,0.04718,1773314169999,3323.4526164,4,0.04718,3323.4526164,0,2026-03-12 11:16:09+00:00,2026-03-12 11:16:09.999000+00:00
1773314170000,70441.97,70441.97,70441.97,70441.97,0.01455,1773314170999,1024.9306635,11,0.0,0.0,0,2026-03-12 11:16:10+00:00,2026-03-12 11:16:10.999000+00:00
1773314171000,70441.98,70441.98,70441.98,70441.98,0.06186,1773314171999,4357.5408828,3,0.06186,4357.5408828,0,2026-03-12 11:16:11+00:00,2026-03-12 11:16:11.999000+00:00
1773314172000,70441.97,70441.97,70441.97,70441.97,0.00043,1773314172999,30.2900471,2,0.0,0.0,0,2026-03-12 11:16:12+00:00,2026-03-12 11:16:12.999000+00:00
1773314173000,70441.97,70441.98,70441.97,70441.98,0.00562,1773314173999,395.8838833,5,0.00119,83.8259562,0,2026-03-12 11:16:13+00:00,2026-03-12 11:16:13.999000+00:00
